ID x y V Verr BV BVerr UB UBerr VR VRerr VI VIerr ra dec d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000
1 217.149 1457.98 10.54 0.006 0.208 0.009 0.081 0.006 0.152 0.011 0.269 0.014 156.11539867053975 -60.12484397102193 0.7606 0.075369 0.065155 0.037885 59.8 "Gaia DR2 5254829303442449536" 156.11509966488 0.0237 -60.12469410303 0.0234 1635721458409799680 5254829303442449536 1274030544 2015.5 1.6680 0.0258 64.6471 -20.569 0.053 8.323 0.046 -0.0105 -0.0200 -0.1944 0.2855 0.2351 0.3437 0.0324 0.0757 0.0498 0.1164 262 262 256 6 12.7848 658.96 0.000 0 31 1 278.8364 1.7089 0.0071 -0.012 30 17 0.040619 0 36 0 302 1.248e+06 352 3546.099 10.4477 0.0003 34 8.192e+05 377.9 2167.986 10.5679 0.0005 35 6.336e+05 535.8 1182.375 10.2575 0.0009 1.164 0 0.3104 0.1201 0.1903 "" "" 0 "" "" "" NOT_AVAILABLE 285.58027901439 -2.30130008145 199.34198376545 -61.13808804920 100001 7853.31 7687.50 8077.67 0.6573 0.2323 0.8957 0.3260 0.1083 0.4400 200111 2.30 2.17 2.40 18.138 17.663 18.612 156.11527745900 0.8203 -60.12472993850 0.7114
2 599.862 1479.34 11.195 0.005 1.017 0.007 0.598 0.005 0.556 0.009 1.035 0.01 156.0520810163811 -60.123421199954315 0.7426 0.051702 0.033586 0.039307 40.5 "Gaia DR2 5254841088834522752" 156.05172064098 0.0248 -60.12331957178 0.0239 1635721458409799680 5254841088834522752 1466228015 2015.5 0.6492 0.0267 24.2712 -9.269 0.057 4.240 0.049 0.0979 -0.1919 -0.0878 0.2957 0.1330 0.3669 0.0855 0.1109 0.0478 0.2325 252 252 241 11 3.5743 321.66 0.000 0 31 0 356.5150 1.5278 0.0070 -0.085 30 17 0.044196 0 34 0 270 8.262e+05 278.8 2963.568 10.8957 0.0004 31 3.676e+05 371.9 988.558 11.4378 0.0011 31 6.456e+05 416.9 1548.657 10.2369 0.0007 1.227 0 1.2009 0.5421 0.6588 14.51 0.35 2 5750.0 4.5 0.0 NOT_AVAILABLE 285.55281648853 -2.31697262882 199.29682779717 -61.16097557073 100001 4832.16 4804.57 4887.99 "" "" "" "" "" "" 200111 13.46 13.16 13.62 89.025 82.905 95.145 156.05180075300 0.8774 -60.12333782780 0.7534
3 328.29 1599.65 11.399 0.006 0.557 0.009 -0.149 0.007 0.362 0.015 0.679 0.012 156.09676421919505 -60.113212777291835 0.7659 0.074635 0.055861 0.049496 48.5 "Gaia DR2 5254829750119049344" 156.09640239065 0.0272 -60.11309985503 0.0258 1635721458409799680 5254829750119049344 503748884 2015.5 3.4895 0.0288 121.2215 -22.743 0.058 12.057 0.053 0.0677 -0.1745 -0.1039 0.3075 0.1148 0.3462 0.0157 0.0603 0.0210 0.2274 219 219 214 5 7.1104 389.67 0.000 1.9e-15 31 1 443.3585 1.6118 0.0075 -0.030 26 17 0.044871 0 32 0 246 6.181e+05 242.9 2544.556 11.2107 0.0004 25 3.394e+05 325.5 1042.798 11.5246 0.0010 27 4.01e+05 299.8 1337.603 10.7541 0.0008 1.198 1 0.7705 0.3139 0.4566 "" "" 0 "" "" "" NOT_AVAILABLE 285.56620650879 -2.29645453478 199.31119820644 -61.13748276551 100002 5904.97 5789.87 6170.32 0.2360 0.1220 0.3500 0.1150 0.0510 0.1756 200111 1.35 1.23 1.40 1.991 1.964 2.018 156.09659890300 0.9044 -60.11315176590 0.8269
4 1891.76 173.772 11.817 0.013 0.058 0.023 -0.689 0.017 0.099 0.021 0.214 0.019 155.83937167858812 -60.2321841805774 0.1401 0.100146 -0.071951 -0.069659 225.9 "Gaia DR2 5254815486484681472" 155.83937535545 0.0268 -60.23222306487 0.0280 1635721458409799680 5254815486484681472 461701272 2015.5 0.2638 0.0309 8.5346 -6.725 0.055 2.681 0.061 0.1613 -0.3225 -0.0869 0.2056 0.0873 0.1793 -0.0433 0.0595 -0.1468 0.3765 217 217 214 3 11.3848 537.61 0.000 0 31 1 336.2449 1.7667 0.0072 -0.092 25 17 0.047586 0 28 0 243 3.825e+05 141.6 2701.783 11.7319 0.0004 26 2.724e+05 590.6 461.130 11.7635 0.0024 26 1.844e+05 264 698.353 11.5976 0.0016 1.194 0 0.1659 0.0317 0.1343 "" "" 0 "" "" "" NOT_AVAILABLE 285.52183619090 -2.46547686694 199.32372850847 -61.31211807916 102001 9429.75 8848.00 9807.00 "" "" "" "" "" "" "" "" "" "" "" "" "" 155.83943367300 0.8479 -60.23223460630 0.9470
5 82.138 1465.68 11.873 0.007 0.992 0.008 0.559 0.006 0.565 0.016 1.095 0.013 156.13769128524467 -60.124093815157586 0.5986 0.085562 0.076352 0.038617 63.2 "Gaia DR2 5254829475241146752" 156.13757560228 0.0236 -60.12393783854 0.0255 1635721458409799680 5254829475241146752 675644387 2015.5 0.5893 0.0272 21.6643 -3.968 0.052 1.124 0.049 0.0611 -0.1178 -0.2598 0.1215 0.2840 0.1686 -0.1674 0.0708 -0.0060 0.2284 231 231 227 4 0.7928 238.43 0.000 9.4e-16 31 1 432.3125 1.5152 0.0069 0.043 26 18 0.041251 0 30 0 251 4.576e+05 78.3 5843.753 11.5372 0.0002 29 2.008e+05 216.1 928.864 12.0948 0.0012 27 3.666e+05 400.3 915.928 10.8513 0.0012 1.240 0 1.2435 0.5576 0.6859 10.18 0.92 9 5750.0 4.5 0.0 NOT_AVAILABLE 285.58935827018 -2.29469587930 199.35605136157 -61.12915536662 100001 4881.92 4687.24 4996.06 0.0600 0.0240 1.2108 0.0293 0.0109 0.5544 200111 10.74 10.26 11.65 59.066 54.544 63.588 156.13760990000 0.8131 -60.12394267680 0.7669
6 757.035 74.997 11.877 0.013 0.082 0.022 -0.35 0.016 0.082 0.014 0.145 0.018 156.0284001095458 -60.23934689050096 0.6144 0.079828 0.021752 -0.076808 164.2 "Gaia DR2 5254827070059712384" 156.02811753373 0.0260 -60.23944410929 0.0290 1635721458409799680 5254827070059712384 1402188137 2015.5 0.5082 0.0322 15.7846 -6.072 0.053 3.118 0.052 0.0099 -0.2412 -0.1277 0.1875 0.3988 0.3050 0.0606 0.2428 0.0469 0.2862 218 218 215 3 9.8396 481.92 0.000 0 31 1 336.6253 1.7561 0.0079 -0.022 25 15 0.04144 0 29 0 247 3.477e+05 73.15 4753.302 11.8354 0.0002 29 2.502e+05 782 319.984 11.8556 0.0034 24 1.656e+05 414.2 399.897 11.7140 0.0027 1.196 0 0.1415 0.0202 0.1214 "" "" 0 "" "" "" NOT_AVAILABLE 285.60492647379 -2.42143243170 199.46275849913 -61.24602883098 102001 9610.33 9188.67 9792.00 "" "" "" "" "" "" "" "" "" "" "" "" "" 156.02817020300 0.8206 -60.23945753580 0.8036
7 1033.84 1219.65 11.981 0.003 1.581 0.004 1.611 0.011 0.923 0.01 1.702 0.008 155.9806371877772 -60.14529862756679 0.8970 0.017618 -0.002015 0.017502 353.4 "Gaia DR2 5254839503941789568" 155.98024905808 0.0231 -60.14514129910 0.0238 1635721458409799680 5254839503941789568 890170855 2015.5 0.3762 0.0268 14.0335 -8.370 0.052 6.379 0.050 0.0365 -0.1277 -0.2706 0.0709 0.2773 0.0905 -0.0660 0.0255 -0.1092 0.1772 255 255 248 7 11.1629 580.32 0.000 1.8e-15 31 0 396.7772 1.4131 0.0063 -0.034 29 18 0.040856 0 34 0 270 5.495e+05 251.8 2181.894 11.3385 0.0005 25 1.752e+05 537.5 325.910 12.2428 0.0033 31 5.518e+05 891 619.336 10.4075 0.0018 1.323 1 1.8353 0.9043 0.9310 -0.55 0.54 4 4500.0 3.0 0.0 NOT_AVAILABLE 285.53436739560 -2.35443034762 199.28245556485 -61.20214459083 100002 4045.00 3935.50 4279.59 0.7070 0.3056 1.2646 0.3900 0.1470 0.6241 200111 32.13 28.70 33.94 248.942 219.366 278.518 155.98032144800 0.8089 -60.14516876410 0.7831
8 926.695 1872.71 12.018 0.008 0.964 0.012 0.514 0.009 0.578 0.017 1.025 0.016 155.99738253488275 -60.09121532408773 0.8235 0.071771 0.006306 0.071493 5.0 "Gaia DR2 5254841363712433152" 155.99694306155 0.0248 -60.09114965214 0.0252 1635721458409799680 5254841363712433152 746874405 2015.5 0.6729 0.0278 24.2030 -9.585 0.054 3.757 0.052 0.1037 -0.1403 -0.2940 0.0608 0.2327 0.0986 -0.2595 0.1208 0.0146 0.2666 227 227 226 1 1.3232 249.28 0.000 0 31 0 364.6329 1.5306 0.0065 -0.020 26 18 0.043463 0 29 0 249 3.908e+05 77.42 5048.178 11.7084 0.0002 26 1.757e+05 280.9 625.663 12.2392 0.0017 25 3.05e+05 207.3 1471.254 11.0513 0.0007 1.230 0 1.1879 0.5308 0.6571 7.97 0.58 5 5500.0 3.5 0.0 NOT_AVAILABLE 285.51252337619 -2.30435140650 199.20936451848 -61.16039626553 100001 4933.58 4810.79 5120.67 "" "" "" "" "" "" 200111 8.46 7.85 8.90 38.209 35.611 40.808 155.99702583100 0.8429 -60.09116582850 0.8075
9 1240.5 616.281 12.127 0.006 1.588 0.011 1.316 0.012 0.888 0.023 1.663 0.016 155.94721536743373 -60.1952161857826 0.5674 0.037458 -0.018580 -0.032525 209.7 "Gaia DR2 5254838958530623232" 155.94691644280 0.0225 -60.19516356310 0.0222 1635721458409799680 5254838958530623232 339552858 2015.5 0.1885 0.0253 7.4428 -6.794 0.055 4.103 0.048 0.0816 -0.1048 -0.0341 0.2383 0.2267 0.2457 0.0953 -0.1121 -0.0545 0.2824 264 264 260 4 7.4711 462.68 0.000 0 31 0 432.5862 1.4086 0.0055 -0.069 30 17 0.044159 0 34 0 283 4.698e+05 146.7 3201.814 11.5086 0.0003 31 1.49e+05 212.6 700.791 12.4187 0.0015 31 4.716e+05 360 1310.004 10.5780 0.0008 1.321 0 1.8406 0.9100 0.9306 9.82 0.32 5 5000.0 3.0 0.0 NOT_AVAILABLE 285.54711874742 -2.40556569138 199.33828039477 -61.24747672201 100001 4162.15 4009.33 4400.86 "" "" "" "" "" "" 200111 54.02 48.31 58.21 788.855 608.502 969.208 155.94697529200 0.8466 -60.19518122910 0.7461
10 1089.73 1086.18 12.191 0.002 0.304 0.003 -0.008 0.003 0.254 0.01 0.424 0.005 155.9715688039698 -60.15636482973682 0.8363 0.009147 -0.006524 0.006412 314.5 "Gaia DR2 5254839400862576128" 155.97118744182 0.0234 -60.15623086705 0.0264 1635721458409799680 5254839400862576128 534934653 2015.5 1.3764 0.0280 49.1445 -9.377 0.053 1.825 0.053 0.0757 -0.1903 -0.1262 0.2034 0.3134 0.2756 0.1929 0.0393 -0.0580 0.3332 243 243 239 4 6.7854 412.65 0.000 0 31 0 353.4000 1.7133 0.0063 -0.005 28 16 0.044839 0 34 0 276 2.781e+05 67.92 4094.425 12.0780 0.0003 31 1.743e+05 218.2 798.766 12.2484 0.0014 31 1.552e+05 127.6 1216.536 11.7849 0.0009 1.185 0 0.4635 0.1704 0.2931 "" "" 0 "" "" "" NOT_AVAILABLE 285.53648638274 -2.36621328067 199.29367647848 -61.21282691838 100001 7529.00 7237.67 7715.50 0.5580 0.2463 0.7459 0.2810 0.1027 0.3701 200111 1.42 1.35 1.53 5.801 5.607 5.994 155.97126857500 0.8272 -60.15623872520 0.8275
