# I inadvertently overwrote the original `asteca_output.dat` file, so I recovered
# these values from a Google Drive sheet.
# The second TR13 line is because this cluster was processed twice.

NAME			z_MAP		std		a_MAP	std	E_MAP	std	d_MAP	d_pc	std		M_MAP	std
bh106_match		0.012032	0.0027827	9.482	0.1158	0.3	0.0375	13.437	4868.6	0.36267		534.65	210.83
bh73_match		0.018955	0.0041747	8.893	0.04939	1.06	0.0396	13.498	5007.3	0.26366		2601.7	945.03
bh85_match		0.014348	0.0024573	9.872	0.04731	0.298	0.0255	13.317	4606.8	0.12085		2228.3	488.59
bh87_match		0.021359	0.003057	8.307	0.1272	0.559	0.0216	11.437	1938.2	0.06779		1113.7	126.2
bh91_match		0.0094194	0.0024469	8.916	0.271	0.195	0.047	11.03	1606.9	0.17141		200.76	82.795
bh92_match		0.008593	0.0043659	7.276	0.328	0.654	0.0306	12.066	2589.4	0.092136	441.09	83.729
loden565_match		0.021405	0.0051156	7.019	0.1773	0.848	0.0496	13.247	4460.7	0.251		333.62	65.804
lynga15_match		0.027144	0.0074485	9.787	0.08321	0.172	0.0502	11.741	2229.5	0.15512		433.52	136.34
ngc4230_match		0.008056	0.005926	9.904	0.2472	0.119	0.0455	13.167	4299.3	0.58768		183.05	366.01
ngc4349_match		0.026623	0.0036907	8.708	0.08994	0.309	0.0331	11.708	2195.8	0.090487	1018.3	146.26
rup162_match		0.0090395	0.0020915	8.924	0.09457	0.535	0.0262	13.23	4425.9	0.10038		1212.8	208.61
rup85_match		0.026647	0.0038296	8.444	0.1325	1.07	0.0427	13.556	5142.8	0.14048		3453.8	520.43
rup87_match		0.014682	0.0053762	9.7	0.1975	0.0944	0.0488	11.636	2124.2	0.88644		113.07	183.08
rup88_match		0.017026	0.0058206	9.741	0.2512	0.152	0.0638	13.704	5505.5	0.52557		323.98	447.43
trumpler12_match	0.0094321	0.0020784	8.822	0.06345	0.314	0.0257	12.721	3501.1	0.08997		692.42	94.032
#trumpler13_match	0.010851	0.0071297	7.001	0.1316	0.62	0.0159	13.954	6177.3	0.17795		1357.2	233.31
trumpler13_match	0.00719		0.00423		8.044	0.070	0.562	0.018	13.411	6177.3	0.150		769	248
